0,0
5,502
10,1013
15,1747
20,2533
25,3320
30,4110
35,4890
40,5680
45,6465
50,7250
55,8040
60,8830
65,9611
70,10400
75,11190
80,11980
85,12765
90,13552
95,14340
100,15130
105,15919
110,16706
115,17500
120,18288
125,19070
130,19860
135,20650
140,21432
145,22220
150,23010
155,23800
160,24585
165,25379
170,26160
175,26950
180,27737
185,28520
190,29310
195,30100
200,30890
205,31678
210,32462
215,33250
220,34039
225,34820
230,35610
235,36400
240,37190
245,37975
250,38770
255,39570
260,40353
265,41140
270,41923
275,42710
280,43500
285,44290
290,45070
295,45860
300,46640
305,47430
310,48217
315,49000
320,49790
325,50577
330,51360
335,52150
340,52939
345,53729
350,54510
355,55306
360,56094
365,56882
370,57670
375,58458
380,59240
385,60029
390,60810
395,61600
400,62389
405,63174
410,63959
415,64745
420,65530
425,66320
430,67100
435,67891
440,68680
445,69463
450,70251
455,71040
460,71823
465,72610
470,73400
475,74190
480,74980
485,75770
490,76558
495,77350
500,78138
505,78928
510,79711
515,80500
520,81294
525,82080
530,82870
535,83657
540,84440
545,85230
550,86016
555,86800
560,87591
565,88380
570,89170
575,89967
580,90759
585,91544
590,92330
595,93120
600,93911
605,94700
610,95490
615,96274
620,97061
625,97850
630,98640
635,99428
640,100217
645,101000
650,101794
655,102582
660,103374
665,104160
670,104950
675,105740
680,106531
685,107320
690,108110
695,108900
700,109690
705,110477
710,111264
715,112050
720,112843
725,113630
730,114420
735,115205
740,115995
745,116780
750,117570
755,118360
760,119150
765,119940
770,120730
775,121520
780,122303
785,123090
790,123880
795,124667
800,125450
805,126240
810,127023
815,127810
820,128600
825,129388
830,130179
835,130963
840,131750
845,132540
850,133326
855,134110
860,134900
865,135686
870,136470
875,137260
880,138042
885,138830
890,139617
895,140401
900,141193
905,141980
910,142767
915,143552
920,144340
925,145130
930,145920
935,146706
940,147500
945,148289
950,149070
955,149860
960,150644
965,151431
970,152220
975,153010
980,153800
985,154590
990,155371
995,156160
1000,156940
1005,157730
1010,158520
1015,159310
1020,160100
1025,160894
1030,161680
1035,162460
1040,163246
1045,164028
1050,164802
1055,165590
1060,166370
1065,167140
1070,167920
1075,168694
1080,169480
1085,170260
1090,171040
1095,171823
1100,172610
1105,173390
1110,174165
1115,174945
1120,175730
1125,176511
1130,177300
1135,178085
1140,178869
1145,179647
1150,180424
1155,181205
1160,181986
1165,182760
1170,183540
1175,184310
1180,185100
1185,185890
1190,186678
1195,187450
1200,188233
1205,189020
1210,189800
1215,190587
1220,191368
1225,192150
1230,192927
1235,193700
1240,194485
1245,195270
1250,196050
1255,196830
1260,197620
1265,198400
1270,199180
1275,199958
1280,200735
1285,201520
1290,202310
1295,203100
1300,203880
1305,204660
1310,205450
1315,206240
1320,207020
1325,207810
1330,208600
1335,209390
1340,210175
1345,210960
1350,211740
1355,212520
1360,213300
1365,214090
1370,214870
1375,215656
1380,216439
1385,217210
1390,218000
1395,218790
1400,219570
1405,220350
1410,221128
1415,221905
1420,222690
1425,223480
1430,224252
1435,225040
1440,225810
1445,226600
1450,227380
1455,228160
1460,228935
1465,229710
1470,230498
1475,231280
1480,232060
1485,232831
1490,233612
1495,234400
1500,235180
1505,235960
1510,236739
1515,237520
1520,238300
1525,239080
1530,239860
1535,240640
1540,241411
1545,242200
1550,242980
1555,243770
1560,244550
1565,245332
1570,246127
1575,246917
1580,247700
1585,248470
1590,249260
1595,250040
1600,250819
1605,251600
1610,252380
1615,253164
1620,253944
1625,254728
1630,255510
1635,256290
1640,257076
1645,257864
1650,258652
1655,259442
1660,260232
1665,261012
1670,261800
1675,262580
1680,263360
1685,264141
1690,264924
1695,265704
1700,266490
1705,267274
1710,268060
1715,268840
1720,269620
1725,270400
1730,271190
1735,271970
1740,272756
1745,273530
1750,274320
1755,275100
1760,275880
1765,276660
1770,277442
1775,278230
1780,279016
1785,279800
1790,280581
1795,281367
1800,282145
1805,282920
1810,283706
1815,284490
1820,285287
1825,286070
1830,286850
1835,287630
1840,288415
1845,289200
1850,289990
1855,290768
1860,291550
1865,292332
1870,293119
1875,293900
1880,294682
1885,295472
1890,296260
1895,297040
1900,297821
1905,298600
1910,299390
1915,300180
1920,300960
1925,301740
1930,302527
1935,303302
1940,304088
1945,304870
1950,305641
1955,306420
1960,307200
1965,307980
1970,308760
1975,309540
1980,310320
1985,311100
1990,311890
1995,312670
2000,313460
2005,314250
2010,315034
2015,315814
2020,316600
2025,317392
2030,318170
2035,318959
